text,url
The Rise and Fall of the Third Reich: A History of Nazi Germany,https://books.toscrape.com/catalogue/the-rise-and-fall-of-the-third-reich-a-history-of-nazi-germany_454/index.html
Nightstruck: A Novel,https://books.toscrape.com/catalogue/nightstruck-a-novel_480/index.html
Frostbite (Vampire Academy #2),https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html
Killing Floor (Jack Reacher #1),https://books.toscrape.com/catalogue/killing-floor-jack-reacher-1_382/index.html
Don't Forget Steven,https://books.toscrape.com/catalogue/dont-forget-steven_561/index.html
Give It Back,https://books.toscrape.com/catalogue/give-it-back_430/index.html
The Matchmaker's Playbook (Wingmen Inc. #1),https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html
The Hook Up (Game On #1),https://books.toscrape.com/catalogue/the-hook-up-game-on-1_68/index.html
1491: New Revelations of the Americas Before Columbus,https://books.toscrape.com/catalogue/1491-new-revelations-of-the-americas-before-columbus_650/index.html
Shameless,https://books.toscrape.com/catalogue/shameless_52/index.html
Off Sides (Off #1),https://books.toscrape.com/catalogue/off-sides-off-1_38/index.html
The Natural History of Us (The Fine Art of Pretending #2),https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
Obsidian (Lux #1),https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
The Alien Club,https://books.toscrape.com/catalogue/the-alien-club_569/index.html
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html
A Distant Mirror: The Calamitous 14th Century,https://books.toscrape.com/catalogue/a-distant-mirror-the-calamitous-14th-century_652/index.html
Brilliant Beacons: A History of the American Lighthouse,https://books.toscrape.com/catalogue/brilliant-beacons-a-history-of-the-american-lighthouse_515/index.html
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",https://books.toscrape.com/catalogue/most-blessed-of-the-patriarchs-thomas-jefferson-and-the-empire-of-the-imagination_509/index.html
Ash,https://books.toscrape.com/catalogue/ash_123/index.html
Darkfever (Fever #1),https://books.toscrape.com/catalogue/darkfever-fever-1_145/index.html
No Love Allowed (Dodge Cove #1),https://books.toscrape.com/catalogue/no-love-allowed-dodge-cove-1_625/index.html
